,address,categoryName,phone,postalCode,reviewsCount,state,title,website
156,"4th floor, Ijmima Complex, Shop no, 437/438, behind Infinity Mall, Malad West, Mumbai, Maharashtra 400064, India",Baby store,+91 88501 82834,400064.0,88,Maharashtra,Props Ka Pitara,https://www.propskapitara.com/
158,"Ram Mandir, R 12, Ram Mandir Rd, Mahatma Jyotiba Phule Nagar, Jogeshwari West, Mumbai, Maharashtra 400104, India",Baby store,+91 79000 03116,400104.0,0,Maharashtra,New Lakshmi Store,
201,"Shop No 2, Bilal Masjid, Andheri - Ghatkopar Link Rd, Nair Wadi, Saki Naka, Mumbai, Maharashtra 400072, India",Baby store,+91 81081 40257,400072.0,0,Maharashtra,Link Cycles Shop Md Israr Malik,
200,"Shop No 1, Andheri - Ghatkopar Link Rd, Pereira Wadi, Asalpha, Mumbai, Maharashtra 400072, India",Baby store,,,0,,Riya Reddy,
199,"shop no 1, Andheri - Ghatkopar Link Rd, TPS Colony, Ghatkopar West, Mumbai, Maharashtra 400086, India",Baby store,+91 73398 44697,400086.0,0,Maharashtra,payel mehta,
198,"Shop No, Ghatkopar, Mumbai, Maharashtra 400086, India",Baby store,+91 97840 44531,400086.0,0,Maharashtra,Madhavi Reddy,
196,"rahmat masjid, Baba Nagar Rd, Rafiq Nagar, Shivaji Nagar, babe, Mumbai, Maharashtra 400043, India",Baby store,+91 98209 66137,400043.0,0,Maharashtra,Mohd Nabil Rizwan Shaikh,
195,"Ikra Creation, Govandi Slums, Rafiq Nagar, Shivaji Nagar, Mumbai, Maharashtra 400043, India",Baby store,+91 83694 54806,400043.0,0,Maharashtra,Iqra Creation,
193,"Shop No2 G, Block Room, N28 Road N4, Govandi Slums, Baiganwadi, Shivaji Nagar, Mumbai, Maharashtra 400043, India",Baby store,+91 90821 96158,400043.0,0,Maharashtra,Mohammad Kamil Khan,
188,"Sho No. 2, opp. Satellite Glory, Andheri East, Mumbai, Maharashtra 400059, India",Baby store,+91 98198 47935,400059.0,0,Maharashtra,Ramesh Pan Shop,
181,"High St, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076, India",Baby store,,,0,,Rajendra Kirana Store,
